Question,Answer,Furigana,Meaning,Example,Translation
"太古","たいこ","たい.こ","ancient times, prehistoric times","人類は太古の昔から指を用いて食べ物を食してきたのである。","People have eaten with their fingers from the beginning of history."
"様々","さまざま","さま.ざま","various, varied","庭には様々な花が咲き乱れていた。","The garden was a riot of color."
"用途","ようと","よう.と","use, service","その発見はいろいろな用途に応用できる。","We can apply the discovery to various uses."
"使う","つかう","つか","to use (a tool, method, etc.), to make use of","「あなたの辞書を使ってもいいですか」「はい、どうぞ」","'Can I use your dictionary?' 'Yes, here you are.'"
"伝説","でんせつ","でん.せつ","legend, folklore","その歌は伝説に由来する物だった。","The song descended from a legend."
"金属","きんぞく","きん.ぞく","metal","鉄は最も有用な金属です。","Iron is the most useful metal."
"合金","ごうきん","ごう.きん","alloy","真鍮は銅と亜鉛の合金である。","Brass is an alloy of copper and zinc."
"又は","または","また","or, either ... or ...","紅茶またはコーヒーはいかが？","Would you like some tea or coffee?"
"万","まん","まん","10,000, ten thousand","４０万ガロンの石油がパイプラインから溢れ出た。","400,000 gallons of oil have spilled out of the pipeline."
"方","ほう","ほう","direction, way","ジョンの方が二人のうちで背が高い。","John is the taller of the two."
"物語","ものがたり","もの.がたり","story, tale","これは、ある猫についての物語です。","This is a story about a cat."
"冒険","ぼうけん","ぼう.けん","adventure, venture","何の冒険もしないなら、何も得られない。","Nothing ventured, nothing gained."
"矢目","やのめ","や.の.め","Yanome, Yame","",""
"予定","よてい","よ.てい","plans, arrangement","ご搭乗は６時４０分になる予定です。","Boarding will be at six-forty."
"休み","やすみ","やす","rest, recess","１０時４０分から１１時まで休み時間です。","We have a break from 10:40 to 11:00."
"蘇る","よみがえる","よみがえ","to be resurrected, to be resuscitated","春の雨が花に生気をよみがえらせた。","A spring rain revived the flower."
"連絡","れんらく","れん.らく","contacting, (making) contact","ここに来た時は、必ず連絡してね。","Please get in touch with me when you are here."
"時間","じかん","じ.かん","time, hour","いつだって読書の時間は見つけられる。","We can always find time for reading."
"技","わざ","わざ","technique, art","柔道では力より技のほうが大切である。","In judo, technique is more important than strength."
"技師","ぎし","ぎ.し","engineer, technician","トムは電気技師です。","Tom is an electrical engineer."
"和風","わふう","わ.ふう","Japanese style, light wind","",""
"料理","りょうり","りょう.り","cooking, cookery","これらのりんごは料理用にもってこいだ。","These apples are good cookers."
"屋","や","や","shop, store","日本にあるインドカレー屋のカレーって、やっぱり日本人の口に合わせて本場よりマイルドに作られてるよね。","The curry they serve in Japan is milder than real Indian curry. They adapt it to Japanese tastes."
"腰","こし","こし","lower back, waist","腰に持病があります。","I have back problems."
"食べる","たべる","た","to eat, to live on (e.g. a salary)","もっと果物を食べるべきです。","You should eat more fruit."
"発射","はっしゃ","はっ.しゃ","firing (esp. a rocket or missile), launching","大砲が偶然発射してしまった。","The cannon went off by accident."
"発車","はっしゃ","はっ.しゃ","departure (of a train, car, etc.), starting","バスは五分後に発車します。","The bus leaves in five minutes."
"発砲","はっぽう","はっ.ぽう","firing, discharge of gun","ウィリーは誤って父親の猟銃を発砲し、壁に穴を開けた。","Willie accidentally let off his father's shotgun and made a hole in the wall."
"発泡","はっぽう","はっ.ぽう","foaming","",""
"分解","ぶんかい","ぶん.かい","disassembly, dismantling","時計を分解するのは組み立てるより簡単だ。","Taking a watch apart is easier than putting it together."
"者","もの","もの","person, -er","じっくり彼に耳を貸す者はいない。","No one stops to listen to him."
"空き地","あきち","あ..ち","vacant land, unoccupied ground","その空地は公園として設計されている。","The vacant lot is laid out as a park."
"駐車","ちゅうしゃ","ちゅう.しゃ","parking (a vehicle)","彼にどこに駐車したのか聞いてください。","Ask him where he parked his car."
"溢れる","あふれる","あふ","to overflow, to brim over","その街は活気にあふれていた。","The town was full of activity."
"川","かわ","かわ","river, stream","この川はあの川の３倍長い。","This river is three times longer than that one."
"脂","あぶら","あぶら","fat, tallow","肌が脂っぽいのです。","I have greasy skin."
"脂肪","しぼう","し.ぼう","fat, grease","脂肪分は減らしたほうがいいですね。","You had better cut out the fat."
"加害者","かがいしゃ","か.がい.しゃ","perpetrator, wrong-doer","",""
"油","あぶら","あぶら","oil","私の服は油で汚れていた。","My clothes were dirty with oil."
"軽油","けいゆ","けい.ゆ","diesel oil, diesel fuel","",""
"現れる","あらわれる","あらわ","to appear, to come in sight","２０人の警官が現場に現れた。","Twenty police have arrived on the scene."
"犯人","はんにん","はん.にん","offender, criminal","その犯人はまだつかまっていない。","The criminal is still at large."
"庵","いおり","いおり","hermitage, retreat","",""
"言い回し","いいまわし","い..まわ","expression, phraseology","彼の演説には数々のすばらしい言い回しが含まれていた。","His speech contained many fine phrases."
